12:12:21 [INFO] device=cuda  family=lstm  variant=all_tricks  seeds=[0, 1, 2]  epochs=200  anneal=150  out=C:\Users\renat\OneDrive\Desktop\faks\Utrecht\Deep Learning\DeepLearningAssignment1\experiments\baselines\milestone5_lstm_all_tricks
12:12:21 [INFO] holdout A: train=700 inner_val=100 test=200
12:12:21 [INFO] holdout B: train=600 inner_val=100 test=200
12:12:21 [INFO] holdout C: train=500 inner_val=100 test=200
12:12:21 [INFO] 
--- holdout A  seed 0 ---
12:12:22 [INFO] epoch    5  train_loss=0.08953  val_mae= 55.704  val_mse= 3593.37  best_mae= 55.704@e5  bad=0/30
12:12:22 [INFO] epoch   10  train_loss=0.04073  val_mae= 19.847  val_mse=  491.82  best_mae= 19.847@e10  bad=0/30
12:12:22 [INFO] epoch   15  train_loss=0.03985  val_mae= 19.286  val_mse=  518.88  best_mae= 19.286@e15  bad=0/30
12:12:23 [INFO] epoch   20  train_loss=0.03924  val_mae= 19.498  val_mse=  494.65  best_mae= 19.286@e15  bad=1/30
12:12:23 [INFO] epoch   25  train_loss=0.03797  val_mae= 19.263  val_mse=  570.45  best_mae= 19.263@e25  bad=0/30
12:12:23 [INFO] epoch   30  train_loss=0.01720  val_mae= 21.627  val_mse=  615.70  best_mae= 19.263@e25  bad=1/30
12:12:24 [INFO] epoch   35  train_loss=0.01213  val_mae= 21.926  val_mse=  711.59  best_mae= 19.263@e25  bad=2/30
12:12:24 [INFO] epoch   40  train_loss=0.00778  val_mae= 33.903  val_mse= 1870.00  best_mae= 19.263@e25  bad=3/30
12:12:25 [INFO] epoch   45  train_loss=0.00536  val_mae= 26.807  val_mse= 1146.73  best_mae= 19.263@e25  bad=4/30
12:12:25 [INFO] epoch   50  train_loss=0.00493  val_mae= 23.897  val_mse= 1310.21  best_mae= 19.263@e25  bad=5/30
12:12:25 [INFO] epoch   55  train_loss=0.00449  val_mae= 36.900  val_mse= 2718.88  best_mae= 19.263@e25  bad=6/30
12:12:26 [INFO] epoch   60  train_loss=0.00415  val_mae=  9.945  val_mse=  180.91  best_mae=  9.945@e60  bad=0/30
12:12:27 [INFO] epoch   65  train_loss=0.00395  val_mae= 15.125  val_mse=  408.72  best_mae=  9.945@e60  bad=1/30
12:12:27 [INFO] epoch   70  train_loss=0.00322  val_mae= 12.161  val_mse=  270.78  best_mae=  9.945@e60  bad=2/30
12:12:28 [INFO] epoch   75  train_loss=0.00299  val_mae=  9.592  val_mse=  185.56  best_mae=  9.592@e75  bad=0/30
12:12:28 [INFO] epoch   80  train_loss=0.00257  val_mae=  8.500  val_mse=  132.72  best_mae=  8.500@e80  bad=0/30
12:12:29 [INFO] epoch   85  train_loss=0.00268  val_mae=  3.905  val_mse=   26.20  best_mae=  3.905@e85  bad=0/30
12:12:29 [INFO] epoch   90  train_loss=0.00224  val_mae= 16.285  val_mse=  430.27  best_mae=  3.905@e85  bad=1/30
12:12:30 [INFO] epoch   95  train_loss=0.00239  val_mae=  8.139  val_mse=  140.13  best_mae=  3.905@e85  bad=2/30
12:12:31 [INFO] epoch  100  train_loss=0.00198  val_mae= 17.450  val_mse=  502.29  best_mae=  3.905@e85  bad=3/30
12:12:31 [INFO] epoch  105  train_loss=0.00226  val_mae= 15.328  val_mse=  369.31  best_mae=  3.905@e85  bad=4/30
12:12:32 [INFO] epoch  110  train_loss=0.00209  val_mae= 22.743  val_mse=  856.83  best_mae=  3.905@e85  bad=5/30
12:12:33 [INFO] epoch  115  train_loss=0.00174  val_mae= 16.096  val_mse=  459.05  best_mae=  3.905@e85  bad=6/30
12:12:33 [INFO] epoch  120  train_loss=0.00222  val_mae= 18.699  val_mse=  640.55  best_mae=  3.905@e85  bad=7/30
12:12:34 [INFO] epoch  125  train_loss=0.00138  val_mae= 16.138  val_mse=  464.78  best_mae=  3.905@e85  bad=8/30
12:12:35 [INFO] epoch  130  train_loss=0.00149  val_mae= 15.028  val_mse=  431.50  best_mae=  3.905@e85  bad=9/30
12:12:35 [INFO] epoch  135  train_loss=0.00144  val_mae= 16.559  val_mse=  503.23  best_mae=  3.905@e85  bad=10/30
12:12:36 [INFO] epoch  140  train_loss=0.00162  val_mae= 15.094  val_mse=  432.38  best_mae=  3.905@e85  bad=11/30
12:12:37 [INFO] epoch  145  train_loss=0.00114  val_mae=  6.082  val_mse=   73.50  best_mae=  3.905@e85  bad=12/30
12:12:38 [INFO] epoch  150  train_loss=0.00122  val_mae= 15.446  val_mse=  439.80  best_mae=  3.905@e85  bad=13/30
12:12:39 [INFO] epoch  155  train_loss=0.00099  val_mae= 14.007  val_mse=  373.35  best_mae=  3.905@e85  bad=14/30
12:12:40 [INFO] epoch  160  train_loss=0.00104  val_mae= 12.488  val_mse=  309.92  best_mae=  3.905@e85  bad=15/30
12:12:41 [INFO] epoch  165  train_loss=0.00124  val_mae=  9.444  val_mse=  172.71  best_mae=  3.905@e85  bad=16/30
12:12:41 [INFO] epoch  170  train_loss=0.00088  val_mae= 13.535  val_mse=  356.73  best_mae=  3.905@e85  bad=17/30
12:12:42 [INFO] epoch  175  train_loss=0.00094  val_mae= 11.819  val_mse=  262.91  best_mae=  3.905@e85  bad=18/30
12:12:43 [INFO] epoch  180  train_loss=0.00080  val_mae= 11.692  val_mse=  249.74  best_mae=  3.905@e85  bad=19/30
12:12:44 [INFO] epoch  185  train_loss=0.00103  val_mae= 10.502  val_mse=  198.70  best_mae=  3.905@e85  bad=20/30
12:12:45 [INFO] epoch  190  train_loss=0.00122  val_mae= 12.078  val_mse=  274.23  best_mae=  3.905@e85  bad=21/30
12:12:45 [INFO] epoch  195  train_loss=0.00092  val_mae= 11.029  val_mse=  223.13  best_mae=  3.905@e85  bad=22/30
12:12:46 [INFO] epoch  200  train_loss=0.00100  val_mae= 11.157  val_mse=  228.52  best_mae=  3.905@e85  bad=23/30
12:12:46 [INFO]   test MAE=43.002  MSE=3963.80  NMSE=1.9965  best@e85
12:12:46 [INFO] 
--- holdout A  seed 1 ---
12:12:47 [INFO] epoch    5  train_loss=0.03995  val_mae= 19.252  val_mse=  525.17  best_mae= 19.252@e5  bad=0/30
12:12:47 [INFO] epoch   10  train_loss=0.03951  val_mae= 19.365  val_mse=  506.38  best_mae= 19.252@e5  bad=1/30
12:12:47 [INFO] epoch   15  train_loss=0.03880  val_mae= 19.539  val_mse=  492.85  best_mae= 19.252@e5  bad=2/30
12:12:47 [INFO] epoch   20  train_loss=0.03349  val_mae= 19.372  val_mse=  501.63  best_mae= 19.252@e5  bad=3/30
12:12:48 [INFO] epoch   25  train_loss=0.01440  val_mae= 19.564  val_mse=  522.77  best_mae= 19.252@e5  bad=4/30
12:12:48 [INFO] epoch   30  train_loss=0.01093  val_mae= 30.940  val_mse= 1419.96  best_mae= 19.252@e5  bad=5/30
