trial,family,mean_mae,worst_mae,mean_mse,mae_A,mae_B,mae_C,mse_A,mse_B,mse_C,best_epoch_A,best_epoch_B,best_epoch_C,window,hidden_dim,num_layers,dropout,kernel_size,scaler,lr,batch_size,weight_decay,lr_scheduler,k_max,p_max,input_noise_sigma
0,cnn1d,13249.540166321114,39609.877475680485,2206531527.3496428,67.33800380135654,39609.877475680485,71.40501948149875,8946.983492835741,6619580112.251147,5522.814288351748,45,35,5,15,64,1,0.08493564427131046,5,minmax_neg1_1,0.0009776854331372624,32,7.523742884534855e-06,plateau,1,0.5,0.02
1,cnn1d,32.03890509222324,42.41572667686269,2010.6152176238727,42.41572667686269,25.15245929181576,28.548529307991267,3625.0596114897053,1066.435426079155,1340.3506153027577,30,40,45,10,32,2,0.21868411173731186,5,minmax_neg1_1,0.001980933895203292,32,3.87211803217458e-06,plateau,5,0.5,0.02
2,cnn1d,27.35139038305331,37.743388144850684,1206.482660639377,37.743388144850684,25.99148501510439,18.31929798920486,1991.6730300875,959.9546611924012,667.8202906382294,5,5,5,25,128,1,0.025423340114409457,5,standard,0.001483149499350034,64,0.00019158219548093185,plateau,3,0.25,0.02
3,cnn1d,31.587503006781144,36.49326698228717,1515.4019725781973,36.49326698228717,25.64426733314991,32.62497470490634,2025.409855080941,991.9747440529292,1528.8213186007215,30,50,15,60,128,1,0.35702359939599115,5,minmax_0_1,0.0008450942890954814,64,0.00038211294416912254,plateau,1,0.25,0.02
4,cnn1d,34.95027328268935,39.78165596827865,1853.3052989073728,35.05180600930005,30.01735787048936,39.78165596827865,1957.8706760368682,1253.7420895863975,2348.3031310988526,20,15,20,10,128,1,0.19578110411102523,3,minmax_neg1_1,0.0026741536245055483,64,7.954064937683937e-05,onecycle,1,0.5,0.02
5,cnn1d,34.72988040191432,43.02675553910434,1624.8293735536226,43.02675553910434,31.15362740471959,30.009258261919022,2273.4659015290567,1278.7673606867786,1322.2548584450321,60,60,60,25,32,1,0.21186023134240262,3,minmax_neg1_1,0.001091439822223209,64,0.0004912819179585587,onecycle,1,0.0,0.005
6,cnn1d,29.37167631847163,36.4087741278857,1396.7281849702115,36.4087741278857,25.856994931995867,25.849259895533322,1995.6461724282353,1056.1950871313745,1138.3432953510242,30,20,10,60,64,1,0.1470863212237734,3,minmax_0_1,0.002138496926099365,32,5.379125214937585e-05,onecycle,1,0.5,0.0
7,cnn1d,28.57101660223057,37.26483488932252,1403.1506521358388,37.26483488932252,27.065540289990604,21.382674627378584,2052.87741672048,1269.4001719081969,887.1743677788388,35,5,5,20,128,1,0.228024468035746,5,minmax_0_1,0.003770014983502085,32,0.00012807142800445775,onecycle,5,0.0,0.0
8,cnn1d,34.73300309209773,47.32280678287148,2359.8661934904644,40.14070251446217,47.32280678287148,16.73549997895956,3234.5120768251295,3235.223462087425,609.8630415588381,25,5,5,10,64,2,0.14407625656450515,5,minmax_0_1,0.0006085797105750697,64,4.187023176257686e-05,plateau,1,0.0,0.01
9,cnn1d,27.158961634337903,36.28468523770571,1280.3865219933207,36.28468523770571,26.140199108421804,19.052000556886195,2108.415434605486,973.654095404676,759.0900359697998,25,20,25,50,64,2,0.16784002497111597,5,minmax_0_1,0.0005558692452498921,64,0.0001291140720054991,onecycle,1,0.5,0.0
