trial,family,mean_mae,worst_mae,mean_mse,mae_A,mae_B,mae_C,mse_A,mse_B,mse_C,best_epoch_A,best_epoch_B,best_epoch_C,window,hidden_dim,num_layers,dropout,kernel_size,conv_layers,scaler,lr,batch_size,weight_decay,lr_scheduler,k_max,p_max,input_noise_sigma
0,cnn_lstm,37.448348052374634,52.53911554034394,2598.187628821375,33.26795534547767,26.537973271302302,52.53911554034394,2693.664497589746,950.6715060859948,4150.226882788383,30,5,20,15,64,1,0.08493564427131046,5,2,standard,0.0006893882309676887,64,2.334586407601622e-05,onecycle,3,0.0,0.005
1,cnn_lstm,32.65563899977133,40.97747197596356,1864.1207999199496,30.523327630124985,26.46611739322543,40.97747197596356,2094.6369847103533,1243.62715658672,2254.0982584627754,45,10,5,50,32,1,0.38783385110582347,5,1,minmax_0_1,0.0005548777280551552,64,6.516990611177181e-06,onecycle,3,0.5,0.02
2,cnn_lstm,38.23618524799656,53.699450278063935,2523.917800765697,34.14976310057366,26.85934236535208,53.699450278063935,2291.862489830427,960.2903944379947,4319.600518028669,40,5,55,50,32,2,0.25502298854208527,3,2,standard,0.0015587110015023158,32,1.1919481947918734e-06,onecycle,1,0.0,0.0
3,cnn_lstm,30.524441456757486,31.628240481093528,1663.2839515468677,30.14784060910344,29.79724328007549,31.628240481093528,1732.0713865108582,1413.2289155889605,1844.5515525407845,20,5,55,15,128,1,0.09117406501677668,5,1,minmax_0_1,0.0006589240690624594,64,9.324140221663498e-06,plateau,3,0.25,0.01
4,cnn_lstm,35.481249787301444,43.48390774279833,2518.6797753450533,38.85546087947674,24.104380739629267,43.48390774279833,3658.0795798917015,888.6727449450779,3009.2870011983805,50,15,5,50,64,1,0.2529223322374318,3,2,minmax_0_1,0.001949229374652598,32,3.4377886617795816e-05,plateau,3,0.0,0.005
5,cnn_lstm,40.174834720939394,52.52941754173487,2791.817574832814,33.78763908732682,34.20744753375649,52.52941754173487,2466.836393953284,1688.760844765504,4219.8554857796535,55,5,25,60,32,2,0.35483456970604693,3,2,minmax_0_1,0.0006315991650298594,32,3.0368556852449663e-06,plateau,5,0.5,0.005
6,cnn_lstm,41.25236512574677,50.25810308098793,2706.1174091022895,43.94174484120682,29.55724745504558,50.25810308098793,3136.2249675938615,1160.4085124801152,3821.718747232891,20,10,40,30,32,1,0.2889808461046021,3,1,minmax_neg1_1,0.0011725428009613985,64,1.925539557201562e-05,onecycle,1,0.0,0.005
7,cnn_lstm,40.10144406487356,51.96412126523509,3159.906146200748,41.58163502312259,26.758575906263008,51.96412126523509,4533.499073307136,956.7466647822062,3989.4727005129007,50,5,15,20,32,2,0.3468289274320415,3,2,standard,0.0038812833225939695,64,1.9140171266136668e-06,onecycle,3,0.0,0.0
8,cnn_lstm,40.94530244430528,53.632844881433996,2871.289783882439,39.16636202543974,30.03670042604208,53.632844881433996,2551.099699034222,1653.0333773921325,4409.736275220963,45,5,25,10,64,2,0.10833290050482969,3,2,minmax_0_1,0.000745185377672888,64,4.443037656955544e-05,onecycle,3,0.25,0.01
9,cnn_lstm,41.856282859407365,50.22777062416077,3190.7439453774023,49.907020089812576,25.434057864248754,50.22777062416077,4693.367509366967,1029.1604289001464,3849.7038978650935,25,10,35,25,32,2,0.25403746034705754,5,1,minmax_0_1,0.0005882185980591359,32,5.719087535188475e-05,onecycle,3,0.25,0.0
10,cnn_lstm,29.47402335726967,43.90510504223406,1635.6015775612098,13.386465941406787,31.130499088168143,43.90510504223406,400.027976224174,1603.82438651868,2902.952369940775,45,5,30,40,128,1,0.16906601855699682,5,1,minmax_0_1,0.0011025839141573896,64,0.00011478935083235049,plateau,3,0.25,0.0
11,cnn_lstm,44.73205933561548,53.60421766035259,3808.9832708010417,53.4635541064851,27.128406240008772,53.60421766035259,5606.891994472409,1353.7378958974507,4466.319922033265,20,25,35,15,128,1,0.048166979508246235,5,1,minmax_0_1,0.0008394632922098104,64,5.3599577193592095e-05,plateau,3,0.25,0.0
12,cnn_lstm,35.61715626652042,53.274335580468176,2483.5239840578183,28.1490122371912,25.428120981901884,53.274335580468176,2044.7594710414485,939.822884426284,4465.989596705722,25,5,45,20,128,1,0.11170177253389531,5,2,minmax_0_1,0.0005680398225092641,64,7.812198689605187e-06,plateau,3,0.5,0.01
13,cnn_lstm,43.07764131330574,53.35115657366812,3577.7500116472424,48.74029865445569,27.141468711793422,53.35115657366812,5077.209547990756,1003.1661551893885,4652.874331761584,45,35,55,50,128,1,0.1957614721741328,5,1,minmax_neg1_1,0.0016422466947477701,64,0.0006977281914754846,plateau,3,0.25,0.0
14,cnn_lstm,40.52164238208621,51.70503806968747,3100.8369216518063,44.194992439054744,25.664896637516435,51.70503806968747,4275.680635222452,1005.9036173933788,4020.9265123395876,55,45,25,15,32,1,0.1391293117246601,3,1,standard,0.0006408961098741747,32,8.977732332804322e-06,plateau,3,0.25,0.01
