trial,family,mean_mae,worst_mae,mean_mse,mae_A,mae_B,mae_C,mse_A,mse_B,mse_C,best_epoch_A,best_epoch_B,best_epoch_C,window,hidden_dim,num_layers,dropout,scaler,lr,batch_size,weight_decay,lr_scheduler,k_max,p_max,input_noise_sigma
0,gru,34.22304061979592,51.278828149770405,2251.4941146951655,20.23425253409071,31.156041175526642,51.278828149770405,1250.6894269808022,1549.3861663389305,3954.406750765764,30,5,20,15,64,1,0.08493564427131046,standard,0.0016738881542579659,32,6.847920095574779e-05,plateau,5,0.5,0.005
1,gru,31.28393437508804,35.50870855752379,1547.9839559398624,35.50870855752379,23.253431658148767,35.08966290959157,1859.8240152618484,858.1147102178246,1926.0131423399143,30,20,40,15,128,2,0.12468443043576438,minmax_neg1_1,0.004661810675890741,64,0.00048359527764659497,plateau,3,0.25,0.0
2,gru,39.99690779644996,48.948568595200776,2913.7191650813966,45.27926955293864,25.762885241210462,48.948568595200776,4170.904066310537,974.7443681519435,3595.5090607817087,40,5,40,25,128,2,0.04634762381005189,minmax_0_1,0.0005787997763336387,64,0.0001544608907504709,plateau,5,0.5,0.005
3,gru,51.275185449178736,54.256455804730834,4346.448127633706,47.64489779015207,54.256455804730834,51.92420275265331,4830.795044371236,4060.399252908992,4148.150085620888,50,5,25,40,32,1,0.37187906093702927,standard,0.0031815743832985725,64,4.149795789891592e-05,plateau,1,0.5,0.005
4,gru,37.22994965483745,47.55823211811483,2063.6672215772287,38.01649150006473,26.11512534633279,47.55823211811483,1984.324675392827,953.5293791604641,3253.1476101783956,5,5,55,60,32,1,0.014754778941813118,minmax_0_1,0.0009497656720691404,32,2.720724805948669e-06,plateau,5,0.25,0.005
5,gru,29.71483551488568,50.10965964250266,1724.4920533859222,12.167533609829842,26.867313292324543,50.10965964250266,325.4150630049613,960.58852860192,3887.4725685508847,25,5,50,10,64,1,0.37469199549469384,minmax_neg1_1,0.004204008859772417,32,9.548873458201664e-05,onecycle,1,0.25,0.02
6,gru,40.05065129064876,48.06078394645651,2869.6755173660767,48.06078394645651,26.324883600413777,45.766286325075995,4516.872681250326,949.5919476432911,3142.561923204613,30,10,30,40,64,2,0.27675807907707733,standard,0.0008634140109349244,64,8.889937283707159e-05,onecycle,1,0.5,0.005
7,gru,42.83292997322161,53.68649430532987,3226.961308154645,35.28913704386115,39.52315857047378,53.68649430532987,2704.2743336617714,2510.420843008353,4466.188747793812,45,10,35,30,128,1,0.006182646611546972,standard,0.004598222491825369,32,1.4298589094443983e-05,onecycle,5,0.0,0.005
8,gru,45.28653540262008,46.769980181283266,3641.630369618811,44.76823491225439,44.321391114322594,46.769980181283266,4382.520379158272,3210.23768797457,3332.1330417235918,55,5,15,10,64,2,0.2599855723111061,standard,0.0010888427435943337,32,5.430507564500918e-05,plateau,5,0.5,0.02
9,gru,33.70199689331111,44.71566858487716,2413.244665225968,24.410397248598812,31.979924846457358,44.71566858487716,2365.6059152786424,1859.8211906468662,3014.3068897523963,55,10,5,60,32,1,0.17558856828225444,standard,0.0034272842474361094,32,3.3104189563245155e-06,plateau,3,0.25,0.005
10,gru,35.16103509322585,48.38103715511039,2590.624409468391,31.12945643827785,25.972611686289312,48.38103715511039,3420.128298288431,949.837746329155,3401.9071837875877,60,10,25,25,64,1,0.31285694083220916,minmax_neg1_1,0.0039648028238626195,32,0.0001260617253624656,onecycle,1,0.5,0.02
11,gru,25.98822670360406,31.261273399591445,1154.7328961942494,31.261273399591445,27.1705342695117,19.532872441709042,1679.3525861959604,974.3991267519392,810.4469756348484,55,5,5,60,128,2,0.16560683879893445,minmax_neg1_1,0.0027543921024265356,64,0.00014410055117008113,onecycle,3,0.25,0.0
12,gru,37.29734250996572,48.406257229130716,2635.1365112835265,37.16366112842225,26.32210917234421,48.406257229130716,3488.9131084855703,950.2026991491261,3466.2937262158835,60,10,25,60,128,2,0.07996676549219241,minmax_neg1_1,0.0011980331137791524,64,0.00034855740673091933,onecycle,3,0.25,0.01
13,gru,18.592307439160844,27.357493284344674,747.0853214384183,3.1277215551957487,27.357493284344674,25.291707477942108,19.88577329471119,984.9852682469024,1236.3849227736414,30,5,30,10,64,1,0.39035860829291213,minmax_neg1_1,0.004986605544517985,32,3.9395320896035135e-06,onecycle,3,0.25,0.02
14,gru,36.55868666176995,48.59925341665745,2450.296829010876,34.734171891063454,26.34263467758894,48.59925341665745,2793.9152957530714,950.7767247456126,3606.198466533944,30,5,35,10,64,1,0.33423429184233283,minmax_neg1_1,0.0037258354046316765,32,2.3268922886745073e-06,onecycle,3,0.0,0.0
