trial,family,mean_mae,worst_mae,mean_mse,mae_A,mae_B,mae_C,mse_A,mse_B,mse_C,best_epoch_A,best_epoch_B,best_epoch_C,window,hidden_dim,num_layers,dropout,scaler,lr,batch_size,weight_decay,lr_scheduler,k_max,p_max,input_noise_sigma
0,lstm,45.14642130401189,50.44553429619079,3687.980310018778,47.95749497326375,37.03623464258112,50.44553429619079,4950.286795876129,2215.450683163627,3898.203451016577,60,5,10,15,64,1,0.08493564427131046,standard,0.0016738881542579659,32,6.847920095574779e-05,plateau,5,0.5,0.005
1,lstm,33.02298729038487,51.770384701527654,2309.2565247020934,51.770384701527654,25.052077365517615,22.246499804109334,4990.611021532267,933.594735131702,1003.5638174423107,35,30,40,15,128,2,0.12468443043576438,minmax_neg1_1,0.004661810675890741,64,0.00048359527764659497,plateau,3,0.25,0.0
2,lstm,34.932977418225875,49.715687427558,2493.3002702824083,28.993343651173635,26.089901175945997,49.715687427558,2844.726975049383,954.5984513055772,3680.575384492265,45,10,50,25,128,2,0.04634762381005189,minmax_0_1,0.0005787997763336387,64,0.0001544608907504709,plateau,5,0.5,0.005
3,lstm,38.86317383656827,51.86149456646626,3008.6321132300127,38.754676557055966,25.97335038618259,51.86149456646626,3771.7735743645353,941.2631861656005,4312.859579159902,50,5,45,40,32,1,0.37187906093702927,standard,0.0031815743832985725,64,4.149795789891592e-05,plateau,1,0.5,0.005
4,lstm,35.00741140416513,45.15861702781171,1908.109573778019,33.69635967187583,26.167257512807847,45.15861702781171,1813.0680530600896,953.1190161878295,2958.141652086138,45,5,60,60,32,1,0.014754778941813118,minmax_0_1,0.0009497656720691404,32,2.720724805948669e-06,plateau,5,0.25,0.005
5,lstm,35.49910351473218,48.91216902511194,2147.5452672312035,29.84619088836014,27.738950630724432,48.91216902511194,1912.2177064122682,1010.943253655823,3519.474841625519,35,5,25,10,64,1,0.37469199549469384,minmax_neg1_1,0.004204008859772417,32,9.548873458201664e-05,onecycle,1,0.25,0.02
6,lstm,43.746959360867216,54.08840571551349,3501.8890219355603,54.08840571551349,25.789217804312244,51.36325456277593,5510.700074001881,973.5004064636449,4021.4665853411548,35,5,30,40,64,2,0.27675807907707733,standard,0.0008634140109349244,64,8.889937283707159e-05,onecycle,1,0.5,0.005
7,lstm,29.78320849330387,48.27089730233624,1694.7060177132055,14.860712247194952,26.21801593038042,48.27089730233624,599.2956539742167,962.3615749925306,3522.460824172869,60,5,10,30,128,1,0.006182646611546972,standard,0.004598222491825369,32,1.4298589094443983e-05,onecycle,5,0.0,0.005
8,lstm,36.19167563195207,38.18614529348784,2663.7068769567063,33.3912000388589,38.18614529348784,36.99768156350947,3083.006524855172,2398.459160102833,2509.6549459121143,40,5,60,10,64,2,0.2599855723111061,standard,0.0010888427435943337,32,5.430507564500918e-05,plateau,5,0.5,0.02
9,lstm,36.20174504731977,49.8262012621008,2495.0238476882755,39.092980010556374,19.68605386930213,49.8262012621008,3123.291544304069,693.8302314455944,3667.949767315164,25,55,10,60,32,1,0.17558856828225444,standard,0.0034272842474361094,32,3.3104189563245155e-06,plateau,3,0.25,0.005
10,lstm,33.63526733046226,51.88271274460532,2225.699376031055,23.028879348095632,25.99420989868583,51.88271274460532,1512.6418845944024,956.7961760940193,4207.660067404744,50,5,25,30,128,1,0.024258933185489166,standard,0.0027669314968038535,32,1.3831547060036333e-05,onecycle,5,0.0,0.01
11,lstm,37.7783877015952,56.334747291812675,2842.396047400441,31.1167842140235,25.88363159894943,56.334747291812675,2369.6206647655067,965.363410417382,5192.204067018434,60,10,45,60,128,2,0.16560683879893445,minmax_neg1_1,0.0027543921024265356,64,0.00014410055117008113,onecycle,3,0.25,0.0
12,lstm,31.28872260954852,56.65220876397565,2100.9856373469033,11.221783069260418,25.99217599540949,56.65220876397565,251.0710707790549,1029.8930905142845,5021.992750747371,35,50,60,15,128,2,0.28825299607609456,minmax_0_1,0.0029763844226460925,64,0.0008532451274657461,plateau,5,0.25,0.0
13,lstm,37.75853896177684,48.7143664929457,2382.5453310920166,33.134254736043516,31.426995656341315,48.7143664929457,2135.848163270604,1435.506937394243,3576.2808926112034,50,10,40,60,128,2,0.3578695340581624,minmax_0_1,0.0019221726609873389,64,0.0006968359841520187,plateau,5,0.25,0.01
14,lstm,45.061652837780606,59.23560084687546,3814.873540779198,46.81369227359071,29.135665392875673,59.23560084687546,4608.787662602016,1338.3306906048178,5497.50226913076,60,50,40,15,128,2,0.2954024248932481,minmax_0_1,0.003367073656002952,64,0.0003951282902848166,plateau,5,0.25,0.0
