trial,family,mean_mae,worst_mae,mean_mse,mae_A,mae_B,mae_C,mse_A,mse_B,mse_C,best_epoch_A,best_epoch_B,best_epoch_C,window,hidden_dim,num_layers,dropout,scaler,lr,batch_size,weight_decay,lr_scheduler,k_max,p_max,input_noise_sigma
0,mlp,33.47028892263508,57.21753803497296,2326.5131685390857,57.21753803497296,24.84120551900929,18.35212321392298,5518.866140709819,906.1729350955917,554.5004298118453,15,60,50,15,64,1,0.08493564427131046,standard,0.0016738881542579659,32,6.847920095574779e-05,plateau,5,0.5,0.005
1,mlp,25.382766204060363,33.59732061631978,1152.633003774158,33.59732061631978,23.892079242914914,18.658898752946406,1977.6728588858373,867.6097448251022,612.6164076115348,55,20,20,15,128,2,0.12468443043576438,minmax_neg1_1,0.004661810675890741,64,0.00048359527764659497,plateau,3,0.25,0.0
2,mlp,21.678274588435887,36.730086880847814,1201.636164511318,21.276198585107924,7.028538299351931,36.730086880847814,1463.0634645525913,104.62303682060436,2037.2219921607582,55,40,50,25,128,2,0.04634762381005189,minmax_0_1,0.0005787997763336387,64,0.0001544608907504709,plateau,5,0.5,0.005
3,mlp,24.576925004120152,30.039669156774245,1138.8872192088077,30.039669156774245,22.878614921307335,20.812490934278877,1624.8470750872832,969.1895965704374,822.6249859687024,20,30,5,40,32,1,0.37187906093702927,standard,0.0031815743832985725,64,4.149795789891592e-05,plateau,1,0.5,0.005
4,mlp,26.644655715959768,35.77729708235711,1507.3136971607462,35.77729708235711,24.794815853089094,19.3618542124331,2708.6655415310966,1132.0404347857502,681.2351151653916,35,60,45,60,32,1,0.014754778941813118,minmax_0_1,0.0009497656720691404,32,2.720724805948669e-06,plateau,5,0.25,0.005
5,mlp,26.60464186560363,35.00633193377406,1179.1668167384048,35.00633193377406,25.801370248049498,19.006223414987325,1841.7725944700433,958.3676666234361,737.3601891217351,55,5,5,10,64,1,0.37469199549469384,minmax_neg1_1,0.004204008859772417,32,9.548873458201664e-05,onecycle,1,0.25,0.02
6,mlp,32.034408301950286,37.34868275060667,1713.0967854421885,30.394981401132846,37.34868275060667,28.359560754111325,1789.5266414728749,1999.0862102405256,1350.6775046131654,50,25,20,40,64,2,0.27675807907707733,standard,0.0008634140109349244,64,8.889937283707159e-05,onecycle,1,0.5,0.005
7,mlp,24.837565126252752,38.616222281618995,1130.7344480218774,38.616222281618995,25.651070790515277,10.245402306623982,2131.3747634285537,983.9232414171513,276.90533921992755,55,30,15,30,128,1,0.006182646611546972,standard,0.004598222491825369,32,1.4298589094443983e-05,onecycle,5,0.0,0.005
8,mlp,30.332969927636565,37.26015512280355,1643.0221924398948,28.97087641838664,24.76787824171949,37.26015512280355,1784.3938238244782,935.7138070972283,2208.958946397978,60,25,60,10,64,2,0.2599855723111061,standard,0.0010888427435943337,32,5.430507564500918e-05,plateau,5,0.5,0.02
9,mlp,24.180817321772334,29.095220883726142,1152.3057971344413,29.095220883726142,25.01147069080246,18.435760390788392,1956.7232410882589,957.1816995445727,543.0124507704925,10,35,40,60,32,1,0.17558856828225444,standard,0.0034272842474361094,32,3.3104189563245155e-06,plateau,3,0.25,0.005
