trial,family,mean_mae,worst_mae,mean_mse,mae_A,mae_B,mae_C,mse_A,mse_B,mse_C,best_epoch_A,best_epoch_B,best_epoch_C,window,hidden_dim,num_layers,dropout,kernel_size,scaler,lr,batch_size,weight_decay,lr_scheduler,k_max,p_max,input_noise_sigma
0,tcn,26.22249775582304,30.01316543187946,1365.88424985172,30.01316543187946,25.721866887956857,22.93246094763279,2096.3106245052604,937.619717757975,1063.7224072919244,130,60,5,15,128,1,0.1216968971838151,3,minmax_neg1_1,0.000979748602933958,64,3.972110727381911e-06,plateau,10,0.0,0.005
1,tcn,33.59891016799752,45.185023319264104,2099.078327952791,32.94499601996984,22.66671116475863,45.185023319264104,2278.4835960550536,831.1937771617349,3187.5576106415842,130,10,160,20,32,2,0.07839314496765809,5,standard,0.0011369027867815917,32,0.0002550298070162893,plateau,7,0.25,0.01
2,tcn,37.30035458779583,55.2725544545427,2716.2240300485614,36.60015062958002,20.028358679264784,55.2725544545427,2401.0170080173107,906.7963353664968,4840.858746761877,165,50,150,50,256,2,0.010167650697638076,3,minmax_0_1,0.004041443189081019,64,4.857295179217169e-06,plateau,3,0.5,0.01
3,tcn,21.58275484977911,32.428773896731435,958.3333385194859,32.428773896731435,14.425465175062419,17.894025477543472,1795.4640371512949,458.2347334202165,621.3012449869461,155,5,30,30,128,2,0.3887128330883843,3,minmax_0_1,0.0005443233335996884,16,6.85392570885306e-06,onecycle,5,0.0,0.01
4,tcn,31.292683521235983,37.63296581096947,1561.606062439314,34.47980719432235,21.765277558416127,37.63296581096947,1877.9789286192383,772.7526057102812,2034.0866529884224,200,115,105,15,256,2,0.1364265404201034,5,minmax_0_1,0.003282405294979375,16,1.902428324748959e-06,plateau,10,0.0,0.01
5,tcn,33.981979002815066,53.106012648644764,2229.587032601053,23.695775015876826,25.14414934392361,53.106012648644764,1048.0490995042155,914.9488291011363,4725.763169197808,110,50,125,50,256,2,0.22732344133418866,5,standard,0.0012361401966922713,16,3.2204108362516767e-05,onecycle,3,0.5,0.02
6,tcn,32.136668026794986,50.84867163203657,2044.9645848427506,20.65312491454184,24.90820753380656,50.84867163203657,1051.326080826329,932.8729724316182,4150.694701270304,150,130,130,15,64,3,0.05603360609460961,5,minmax_0_1,0.0011440925445849323,64,0.00039922428866315035,onecycle,3,0.0,0.005
7,tcn,29.02262035476868,44.661674543665306,1805.09415185505,20.355375136002593,22.050811384638138,44.661674543665306,1439.487383002496,760.6827098908794,3215.112362671775,160,55,110,40,32,3,0.2549719605992826,5,standard,0.0009328294650839056,16,0.0007725831714587857,onecycle,10,0.0,0.0
8,tcn,32.44278271543913,36.39504051708558,1705.0139324339145,36.39504051708558,26.48251520491338,34.450792424318415,2096.053179523739,950.8088940038599,2068.179723774145,120,95,55,75,32,1,0.1594018937589494,5,standard,0.0015925983554027055,16,1.6281943456436454e-06,onecycle,3,0.5,0.005
10,tcn,25.138653092657524,33.24846965946257,1164.7522921102302,33.24846965946257,23.70265821173787,18.464831406772138,1964.5077725866424,907.2432485351753,622.505855208873,65,45,10,30,64,3,0.3150991818412811,3,minmax_0_1,0.0005427296694379261,16,1.2839418812776679e-06,onecycle,5,0.0,0.01
